available,neontheme,category,highertaxon,lowertaxon,sampletype,collid,institutioncode,collectioncode,fullname,neonsampleclass,description,dwcaurl,gbif,neondataproduct
NULL,NULL,External Collections,NULL,NULL,NULL,82,CMNH,INV,"Carnegie Museum of Natural History, Invertebrate Zoology Collection",bet_IDandpinning_in.individualID,NULL,NULL,not published,https://carnegiemnh.org/research/invertebrate-zoology/
NULL,NULL,External Collections,NULL,NULL,NULL,43,CSVColl,Vertebrates,Consortium of Small Vertebrate Collections,NULL,NULL,https://biorepo.neonscience.org/portal/content/dwca/CSVColl-Vertebrates_DwC-A.zip,not published,https://csvcoll.org
NULL,NULL,External Collections,NULL,NULL,NULL,44,EMEC,EMEC,Essig Museum of Entomology,bet_IDandpinning_in.individualID,NULL,https://biorepo.neonscience.org/portal/content/dwca/EMEC-EMEC_DwC-A.zip,not published,https://essig.berkeley.edu/
NULL,NULL,External Collections,NULL,NULL,NULL,74,MSB,MAMM,Museum of Southwestern Biology - Mammal specimens,"mam_pertrapnight_in.bloodSampleID, mam_pertrapnight_in.earSampleID, mam_pertrapnight_in.fecalSampleID, mam_pertrapnight_in.hairSampleID, mam_pertrapnight_in.voucherSampleID",NULL,https://biorepo.neonscience.org/portal/content/dwca/MSB-MAMM_DwC-A.zip,not published,http://www.msb.unm.edu/divisions/mammals/index.html
NULL,NULL,External Collections,NULL,NULL,NULL,79,NEON,SOIC-MP,NEON HQ Soil Archive (Megapit),mgp_perarchivesample_in.archiveID,NULL,NULL,not published,https://data.neonscience.org/data-products/DP1.00096.001
NULL,NULL,External Collections,NULL,NULL,NULL,81,NEON,OPAL,Prototype and Legacy NEON Samples,NULL,NULL,NULL,not published,NULL
NULL,NULL,External Collections,NULL,NULL,NULL,37,SCAN,NULL,SCAN Portal Network Arthropod Specimens,NULL,NULL,https://biorepo.neonscience.org/portal/content/dwca/SCAN_DwC-A.zip,not published,http://scan-bugs.org/portal/
,,External Collections,,,,2,SEINet,Plants,SEINet Portal Network Botanical Specimens,,,https://biorepo.neonscience.org/portal/content/dwca/SEINet-Plants_DwC-A.zip,not published,http://swbiodiversity.org
NULL,NULL,External Collections,NULL,NULL,NULL,80,UMICH,SOIC,"University of Michigan Biological Station - Sample Archive Facility in Ehlers, Initial Characterization Soils Archive",spc_perbulksample_in.bulkDensIDnrcs,NULL,NULL,not published,https://mfield.umich.edu/soil_archive_request
