available,neontheme,category,highertaxon,lowertaxon,sampletype,collid,institutioncode,collectioncode,fullname,neonsampleclass,description,dwcaurl,gbif,neondataproduct
NULL,NULL,"External Collections",NULL,NULL,NULL,43,CSVColl,Vertebrates,"Consortium of Small Vertebrate Collections",NULL,NULL,https://biorepo.neonscience.org/portal/content/dwca/CSVColl-Vertebrates_DwC-A.zip,"not published",https://csvcoll.org
NULL,NULL,"External Collections",NULL,NULL,NULL,44,EMEC,EMEC,"Essig Museum of Entomology",essig_beetles,NULL,https://biorepo.neonscience.org/portal/content/dwca/EMEC-EMEC_DwC-A.zip,"not published",https://essig.berkeley.edu/
NULL,NULL,"External Collections",NULL,NULL,NULL,74,MSB,MAMM,"Museum of Southwestern Biology - Mammal specimens",NULL,NULL,https://biorepo.neonscience.org/portal/content/dwca/MSB-MAMM_DwC-A.zip,"not published",http://www.msb.unm.edu/divisions/mammals/index.html
NULL,NULL,"External Collections",NULL,NULL,NULL,79,NEON,SOIC-MP,"NEON HQ Soil Archive (Megapit)",NULL,NULL,NULL,"not published",https://data.neonscience.org/data-products/DP1.00096.001
NULL,NULL,"External Collections",NULL,NULL,NULL,81,NEON,OPAL,"Prototype and Legacy NEON Samples",NULL,NULL,NULL,"not published",NULL
NULL,NULL,"External Collections",NULL,NULL,NULL,37,SCAN,NULL,"SCAN Portal Network Arthropod Specimens",NULL,NULL,https://biorepo.neonscience.org/portal/content/dwca/SCAN_DwC-A.zip,"not published",http://scan-bugs.org/portal/
,,"External Collections",,,,2,SEINet,Plants,"SEINet Portal Network Botanical Specimens",,,https://biorepo.neonscience.org/portal/content/dwca/SEINet-Plants_DwC-A.zip,"not published",http://swbiodiversity.org
NULL,NULL,"External Collections",NULL,NULL,NULL,80,UMICH,SOIC,"University of Michigan Soils from the NRCS site characterization",NULL,NULL,NULL,"not published",NULL
